X,Y,tyyp_t,korgus
545631.159999996,6586922.44,Valgusmast,"38"
545679.350000001,6586922.37,Valgusmast,"38"
545738.270000003,6586923.82,Valgusmast,"38"
545781.25,6586923.85,Valgusmast,"38"
545834.93,6586924.15,Valgusmast,"38"
545897.630000003,6586925.47,Valgusmast,"38"
545948.100000001,6586926.19,Valgusmast,"38"
596407.615000002,6606709.338,Torn,"25"
567522.420000002,6559327.08,Sidemast,"35"
578894.446000002,6553893.204,Valgusmast,"28"
577799.751999997,6551947.191,Korsten,"30"
577761.597000003,6551762.298,Sidemast,"52"
589564.219999999,6553091.41,Torn,"17"
471065.020000003,6563461.109,Sidemast,"75"
597574.840000004,6551940.874,Korsten,"26"
591877.012000002,6440180.182,Valgusmast,"25"
591979.564999998,6440425.343,Valgusmast,"25"
591948.596000001,6440304.887,Valgusmast,"25"
591814.519000001,6440322.361,Korsten,"25"
594775.399999999,6558541.1,Korsten,"13"
599538.18,6555965.95,Korsten,"44"
608270.840000004,6546830.88,Korsten,"15"
608000.777000003,6546648.771,Korsten,"20"
608578.336000003,6546040.322,Sidemast,"100"
600241.369999997,6557402.538,Korsten,"31"
600658.066,6557534.726,Sidemast,"100"
614688.609999999,6553719.92,Korsten,"30"
521636.662,6561830.539,Sidemast,"95"
528781.163000003,6562938.254,Sidemast,"70"
529529.93,6566939.0,Korsten,"45"
