"make","model","price.usd","year","condition","mileage.km","fuel","volume.l","color","transmission","drive"
"nissan","qashqai-2",10699,2009,"with mileage",82000,"petrol",2,"black","auto","part-time four-wheel drive"
"mazda","cx-7",7800,2007,"with mileage",230000,"petrol",2.3,"gray","mechanics","all-wheel drive"
"citroen","xantia",1700,1998,"with mileage",350000,"petrol",1.8,"green","mechanics","front-wheel drive"
"mercedes-benz","e-klass",22000,2014,"with mileage",103000,"petrol",2,"black","auto","rear drive"
"ford","focus",2800,2002,"with mileage",250000,"petrol",2,"gray","auto","front-wheel drive"
"chrysler","voyager",1200,1997,"with mileage",350000,"petrol",2.4,"purple","mechanics","front-wheel drive"
"volkswagen","passat",8000,2007,"with mileage",219544,"diesel",1.9,"silver","mechanics","front-wheel drive"
"mazda","cx-7",5500,2007,"with mileage",215000,"petrol",2.3,"silver","auto","all-wheel drive"
"bmw","3-seriya",1300,1998,"with mileage",323000,"diesel",1.8,"silver","mechanics","rear drive"
"renault","espace",4500,2004,"with mileage",999999,"diesel",2.2,"silver","mechanics","front-wheel drive"
"audi","a4",7000,2005,"with mileage",410000,"diesel",2,"silver","mechanics","front-wheel drive"
"infiniti","fx",14700,2008,"with mileage",138000,"petrol",3.5,"white","auto","all-wheel drive"
"toyota","rav4",25400,2018,"with mileage",38000,"petrol",2,"black","auto","part-time four-wheel drive"
"audi","a6",10500,2008,"with mileage",217000,"diesel",2,"black","mechanics","front-wheel drive"
"opel","omega",1100,1994,"with mileage",330000,"petrol",2,"gray","auto","rear drive"
"renault","19",230,1993,"with mileage",335000,"petrol",1.8,"burgundy","mechanics","front-wheel drive"
"volkswagen","transporter",10000,2002,"with mileage",322000,"diesel",2.5,"other","mechanics","front-wheel drive"
"lada-vaz","2105",500,1995,"with mileage",350000,"petrol",1.6,"red","mechanics","rear drive"
"bmw","x5",10700,2004,"with mileage",328000,"petrol",3,"white","auto","all-wheel drive"
"toyota","rav4",13000,2011,"with mileage",81000,"petrol",2,"gray","mechanics","front-wheel drive"
"renault","duster",12500,2017,"with mileage",78000,"petrol",2,"black","auto","part-time four-wheel drive"
"toyota","auris",14399,2016,"with mileage",45000,"diesel",1.6,"gray","mechanics","front-wheel drive"
"volkswagen","caddy",9999,2010,"with mileage",273397,"diesel",1.6,"blue","mechanics","front-wheel drive"
"bmw","7-seriya",10000,2005,"with mileage",227000,"petrol",4,"black","auto","rear drive"
"citroen","berlingo",1590,1998,"with mileage",177000,"petrol",1.8,"blue","mechanics","front-wheel drive"
"citroen","xantia",990,1999,"with mileage",465000,"diesel",1.9,"green","mechanics","front-wheel drive"
"mercedes-benz","s-klass",6000,1998,"with mileage",308450,"petrol",5,"blue","auto","rear drive"
"citroen","xsara",2000,2000,"with mileage",350000,"diesel",1.9,"green","mechanics","front-wheel drive"
"mercedes-benz","e-klass",2700,1994,"with mileage",250000,"diesel",2,"white","mechanics","rear drive"
"infiniti","qx56",10463,2005,"with mileage",95087,"petrol",5.552,"black","auto","part-time four-wheel drive"
"volkswagen","passat",500,1989,"for parts",350000,"petrol",1.8,"red","mechanics","front-wheel drive"
"peugeot","605",2000,1992,"with mileage",60000,"petrol",2,"other","mechanics","front-wheel drive"
"skoda","octavia",7600,2010,"with mileage",140000,"petrol",1.4,"gray","auto","front-wheel drive"
"volvo","v40",2500,1998,"with mileage",297000,"diesel",1.9,"red","mechanics","front-wheel drive"
"citroen","xantia",300,1996,"for parts",250000,"diesel",2.1,"green","mechanics","front-wheel drive"
"renault","laguna",3900,2001,"with mileage",328000,"diesel",1.899,"blue","mechanics","front-wheel drive"
"ford","fiesta",1300,1996,"with mileage",189000,"petrol",1.25,"green","mechanics","front-wheel drive"
"bmw","x5",12900,2006,"with mileage",300000,"diesel",3,"gray","auto","all-wheel drive"
"bmw","5-seriya",4600,1999,"with mileage",274000,"petrol",2.5,"black","auto","rear drive"
"mercedes-benz","e-klass",1500,1988,"with mileage",310000,"petrol",2.6,"silver","auto","rear drive"
"ford","mondeo",5800,2007,"with mileage",293000,"diesel",1.8,"black","mechanics","front-wheel drive"
"opel","signum",6850,2007,"with mileage",256000,"diesel",1.9,"silver","mechanics","front-wheel drive"
"bmw","5-seriya",6990,2002,"with mileage",235000,"petrol",2.5,"silver","auto","rear drive"
"nissan","primera",850,2000,"with mileage",260000,"diesel",2,"silver","mechanics","front-wheel drive"
"opel","zafira",5950,2003,"with mileage",270000,"diesel",2.2,"blue","mechanics",""
"volkswagen","transporter",7200,2004,"with mileage",550000,"diesel",1.9,"other","mechanics","front-wheel drive"
"opel","corsa",3100,2003,"with mileage",235000,"petrol",1.2,"black","mechanics","front-wheel drive"
